nome,preco,quantidade,tipo,data_scraping
Adesivo | Sonic (Holográfico) | Xangai 2024,1.57,11,Autographs,2024-12-17
Adesivo | zeRRoFIX (Holográfico) | Xangai 2024,1.46,7,Autographs,2024-12-17
Adesivo | iM (Holográfico) | Xangai 2024,0.53,62,Autographs,2024-12-17
Adesivo | malbsMd (Holográfico) | Xangai 2024,2.67,16,Autographs,2024-12-16
Adesivo | Techno4K (Purpurinado) | Xangai 2024,0.38,28,Autographs,2024-12-17
Adesivo | noway (Dourado) | Xangai 2024,5.66,11,Autographs,2024-12-17
Adesivo | jks (Dourado) | Xangai 2024,46.0,4,Autographs,2024-12-14
Adesivo | rain (Dourado) | Xangai 2024,28.22,6,Autographs,2024-12-13
Adesivo | siuhy (Purpurinado) | Xangai 2024,0.05,74,Autographs,2024-12-16
Adesivo | chelo (Purpurinado) | Xangai 2024,0.2,27,Autographs,2024-12-17
Adesivo | Volt (Dourado) | Xangai 2024,13.24,4,Autographs,2024-12-17
Adesivo | ultimate (Holográfico) | Xangai 2024,6.25,17,Autographs,2024-12-17
Adesivo | NAF (Purpurinado) | Xangai 2024,0.18,40,Autographs,2024-12-17
Adesivo | ICY (Dourado) | Xangai 2024,6.48,9,Autographs,2024-12-17
Adesivo | jambo (Dourado) | Xangai 2024,6.99,3,Autographs,2024-12-17
Adesivo | Volt (Holográfico) | Xangai 2024,2.19,8,Autographs,2024-12-17
Adesivo | blameF (Dourado) | Xangai 2024,4.79,7,Autographs,2024-12-17
Adesivo | Perfecto (Purpurinado) | Xangai 2024,0.12,26,Autographs,2024-12-17
Adesivo | insani (Dourado) | Xangai 2024,14.68,9,Autographs,2024-12-17
Adesivo | Lucky (Dourado) | Xangai 2024,3.84,19,Autographs,2024-12-17
Adesivo | TeSeS (Dourado) | Xangai 2024,3.79,8,Autographs,2024-12-17
Adesivo | Krimbo (Purpurinado) | Xangai 2024,0.07,33,Autographs,2024-12-17
Adesivo | Perfecto | Xangai 2024,0.04,89,Autographs,2024-12-17
Adesivo | vexite (Dourado) | Xangai 2024,12.84,3,Autographs,2024-12-17
Adesivo | syrsoN (Holográfico) | Xangai 2024,4.11,2,Autographs,2024-12-12
Adesivo | TeSeS (Holográfico) | Xangai 2024,0.32,29,Autographs,2024-12-17
Adesivo | sl3nd (Holográfico) | Xangai 2024,1.2,13,Autographs,2024-12-17
Adesivo | s-chilla (Holográfico) | Xangai 2024,2.04,5,Autographs,2024-12-17
Adesivo | malbsMd (Dourado) | Xangai 2024,152.11,5,Autographs,2024-12-13
Adesivo | hallzerk (Holográfico) | Xangai 2024,1.03,18,Autographs,2024-12-16
